"";"genes"
"687";"SARS"
"688";"VTCN1"
"689";"LOC645166"
"690";"IQGAP3"
"691";"RGS5"
"692";"TROVE2"
"693";"TROVE2"
"694";"FAM89A"
"695";"VIM"
"696";"WAC"
"697";"EPC1"
"698";"GDF10"
"699";"GDF10"
"700";"GIG18"
"701";"GIG18"
"702";"PCGF6"
"703";"ST5"
"704";"ST5"
"705";"KIAA0652"
"706";"PCNXL3"
"707";"GDPD5"
"708";"GDPD5"
"709";"TMEM123"
"710";"CLEC4A"
"711";"RAPGEF3"
"712";"RAPGEF3"
"713";"RAPGEF3"
"714";"RAPGEF3"
"715";"TUBA1A"
"716";"TUBA1A"
"717";"ATP5G2"
"718";"USP44"
"719";"HSP90B1"
"720";"KIAA0369"
"721";"THSD1"
"722";"PCDH17"
"723";"C13orf34"
"724";"SSTR1"
"725";"SOS2"
"726";"EXD2"
"727";"RGS6"
"728";"C14orf2"
"729";"TJP1"
"730";"RYR3"
"731";"CASC5"
"732";"CASC5"
"733";"CCNB2"
"734";"ANXA2"
"735";"NUBP1"
"736";"MYH11"
"737";"MYH11"
"738";"NUP88"
"739";"ALDOC"
"740";"SUPT6H"
"741";"IKZF3"
"742";"IKZF3"
"743";"IKZF3"
"744";"IKZF3"
"745";"CCDC43"
"746";"TOM1L1"
"747";"C17orf80"
"748";"ARHGDIA"
"749";"B3GNT3"
"750";"B3GNT3"
"751";"PPP1R14A"
"752";"LTBP4"
"753";"NLRP4"
"754";"TRIM28"
"755";"MATN3"
"756";"PREPL"
"757";"RGPD1"
"758";"RGPD1"
"759";"RBMS1"
"760";"AAMP"
"761";"C20orf114"
"762";"GGT7"
"763";"HPS4"
"764";"MAPK11"
"765";"MAPK11"
"766";"MAPK11"
"767";"OXNAD1"
"768";"OSR1"
"769";"CTNNB1"
"770";"KLHL18"
"771";"PPM1M"
"772";"MAGI1"
"773";"MAGI1"
"774";"CD80"
"775";"CD80"
"776";"NMNAT3"
"777";"ZBTB38"
"778";"ZBTB38"
"779";"ZBTB38"
"780";"MLF1"
"781";"HPGD"
"782";"HPGD"
"783";"C5orf43"
"784";"C5orf43"
"785";"CDK7"
"786";"TSLP"
"787";"IRGM"
"788";"FAT2"
"789";"TUBB2B"
"790";"HINT3"
"791";"PLAGL1"
"792";"PLAGL1"
"793";"PLAGL1"
"794";"FNDC1"
"795";"FNDC1"
"796";"TNS3"
"797";"VOPP1"
"798";"VOPP1"
"799";"NSUN5C"
"800";"COL1A2"
"801";"COL1A2"
"802";"RELN"
"803";"UBE3C"
"804";"ASAH1"
"805";"DPYSL2"
"806";"C8orf41"
"807";"C8orf41"
"808";"STMN2"
"809";"PDP1"
"810";"GRHL2"
"811";"GRHL2"
"812";"MYC"
"813";"MYC"
"814";"ANXA2"
"815";"CCDC107"
"816";"PRUNE2"
"817";"UAP1L1"
"818";"CACNA1F"
"819";"CHRDL1"
"820";"SH2D1A"
"821";"SH2D1A"
"822";"ODZ1"
"823";"GPR50"
"824";"PTCH2"
"825";"PTCH2"
"826";"ORC1L"
"827";"FUBP1"
"828";"BRDT"
"829";"BRDT"
"830";"BRDT"
"831";"DNTTIP2"
"832";"NBPF15"
"833";"PEX11B"
"834";"ANKRD35"
"835";"LOC645166"
"836";"LOC645166"
"837";"PSF"
"838";"PSF"
"839";"PSF"
"840";"GALNT2"
"841";"GALNT2"
"842";"GALNT2"
"843";"KIF26B"
"844";"KIF26B"
"845";"GPR120"
"846";"GPR120"
"847";"ST5"
"848";"ST5"
"849";"PTPN5"
